# code,name,lat,lon,apt,type,country code
03MCT, , 55.1367, -7.1914, EGTT, High Level, UK
03SML, , 25.61, 30.6353, HEBL, High and Low Level, EG
04THT, , 73.1478, -68.6831, CZEG, High and Low Level, CA
06TRA, , 47.7333, 8.2833, EDUU, RNAV, GM
08YBK, , 63.7513, -100.0007, CZEG, High and Low Level, CA
15SNT, , 40.0, -16.0, LPAZ, High and Low Level, PO
16DEL, , 30.8401, -105.3809, MMFR, High Level, MX
16YYQ, , 60.7743, -99.9992, CZEG, High Level, CA
17AST, , 26.3308, 29.0017, HECC, High and Low Level, EG
1F, , 47.6306, -65.7447, CZBF, Low Level, CA
21YZS, , 61.567, -89.0499, CZWG, Low Level, CA
22SNT, , 45.0, -14.0, LPAZ, High and Low Level, PO
247PQ, , 33.75, 165.0, RJTG, High and Low Level, JA
24DUB, , 55.0875, -8.5697, EGPX, High Level, UK
24VLS, , -15.1867, 28.8256, FLFI, Low Level, ZA
251PQ, , 35.5352, 149.996, RJTG, High and Low Level, JA
25VLS, , -15.6169, 28.1078, FLFI, High and Low Level, ZA
27VLS, , -14.9731, 28.7075, FLFI, High and Low Level, ZA
31BSA, , 31.1067, 35.2866, LLLL, High and Low Level, IS
31MCT, , 55.3656, -7.9047, EGTT, High Level, UK
32YZF, , 61.7502, -110.0012, CZEG, High and Low Level, CA
4711E, , 47.5872, 11.7336, LOVV, RNAV, AU
4812E, , 47.6057, 12.1988, LOVV, RNAV, AU
4850N, , 48.0, -50.0, CZQX, Low Level, CA
4950N, , 49.0, -50.0, CZQX, Low Level, CA
49LST, , 55.7494, 8.0986, EKDK, RNAV, DA
5050N, , 50.0, -50.0, CZQX, Low Level, CA
5150N, , 51.0, -50.0, CZQX, Low Level, CA
5250N, , 52.0, -50.0, CZQX, Low Level, CA
5350N, , 53.0, -50.0, CZQX, Low Level, CA
53YRT, , 60.85, -100.0, CZEG, High and Low Level, CA
57SML, , 26.4822, 30.3283, HEBL, High and Low Level, EG
5850N, , 58.0, -50.0, CZQX, High Level, CA
5950N, , 59.0, -50.0, CZQX, High Level, CA
5B, , 46.3969, -63.8817, CZSU, Low Level, CA
5Q, , 54.56, -71.1711, CZUL, Low Level, CA
6140N, , 61.0, -40.0, BIRD, High Level, IC
6330N, , 63.0, -30.0, BIRD, High Level, IC
63YBK, , 62.249, -99.9954, CZEG, High and Low Level, CA
66YBK, , 65.2482, -89.9993, CZEG, High and Low Level, CA
6860N, , 68.0, -60.0, CZEG, High Level, CA
69YEK, , 57.7042, -88.3415, CZWG, High Level, CA
70N05, , 70.0, -105.0, CZEG, High Level, CA
71SNT, , 45.0, -16.0, LPAZ, High and Low Level, PO
74YZS, , 62.1503, -87.8665, CZWG, Low Level, CA
7580N, , 75.0, -80.0, CZEG, High Level, CA
8083N, , 80.0, -83.0, CZEG, High Level, CA
993PQ, , 34.5833, 160.0, RJTG, High and Low Level, JA
9H, , 53.5738, -76.2008, CYUL, Low Level, CA
AA, , -37.0046, 174.8136, NZZC, High and Low Level, NZ
AA, , 5.6762, -0.138, DGAA, Terminal, GH
AA, , 40.4482, -3.5388, LEMD, Terminal, SP
AA, , 68.7232, -52.7848, BGGL, Low Level, GL
AA003, , -36.9875, 174.8723, NZAA, Terminal, NZ
AA005, , -36.98, 174.9007, NZAA, Terminal, NZ
AA007, , -37.0426, 174.6758, NZAA, Terminal, NZ
AA013, , -36.9301, 175.0677, NZAA, Terminal, NZ
AA014, , -37.2099, 174.902, NZAA, Terminal, NZ
AA016, , -37.2212, 174.7947, NZAA, Terminal, NZ
AA022, , -37.1063, 174.5743, NZAA, Terminal, NZ
AA023, , -37.075, 174.5575, NZAA, Terminal, NZ
AA024, , -37.042, 174.5469, NZAA, Terminal, NZ
AA025, , -37.0182, 174.7644, NZAA, Terminal, NZ
AA030, , -36.8289, 174.6549, NZAA, Terminal, NZ
AA031, , -37.0207, 174.7545, NZAA, Terminal, NZ
AA033, , -36.7902, 174.7714, NZAA, Terminal, NZ
AA042, , -36.8992, 175.0501, NZAA, Terminal, NZ
AA050, , -37.0047, 174.8123, NZAA, Terminal, NZ
AA051, , -36.9984, 174.8349, NZAA, Terminal, NZ
AA060, , -36.9629, 175.0792, NZAA, Terminal, NZ
AA088, , -36.9543, 174.9857, NZAA, Terminal, NZ
AA141, , -37.2086, 174.9065, NZAA, Terminal, NZ
AA222, , -37.1096, 174.5766, NZAA, Terminal, NZ
AA240, , -37.0458, 174.5478, NZAA, Terminal, NZ
AA300, , -36.991, 174.8614, NZAA, Terminal, NZ
AA331, , -36.7908, 174.7668, NZAA, Terminal, NZ
AA500, , -37.0425, 174.6758, NZAA, Terminal, NZ
AA550, , -37.0252, 174.7387, NZAA, Terminal, NZ
AADAM, , 19.8262, -75.0653, MUGM, Terminal, CU
AAE, , 23.0722, 72.625, VABF, High and Low Level, IN
AAL, , 57.1037, 9.9956, EKDK, RNAV, DA
AALEN, , 48.6006, 10.1156, EDMM, Terminal, GM
AAQ, , -21.813, -48.1395, SBBS, High Level, BR
AAR, , 30.908, 41.1422, OEJD, High and Low Level, SA
AAR, , 31.7069, 74.8008, VIDF, High and Low Level, IN
AARAN, , 47.7509, -52.9135, CYYT, Terminal, CA
AAT, , 23.8896, 91.2397, VECF, High and Low Level, IN
